球隊,球場,主場數,總人數,場均,容納人數,,2017場均排名,2017場均,,城市,城市人口,,BPF(球場校正值)
道奇,Dodger Stadium,34,"1,558,677",45843.00 ,56000 ,,1,46492,,"Los Angeles, California",3976322.00 ,,0.766
紅雀,Busch Stadium,34,"1,404,786",41317.00 ,43975 ,,2,42567,,"St. Louis, Missouri",311404.00 ,,0.942
洋基,Yankee Stadium,31,"1,280,767",41315.00 ,47422 ,,4,39835,,"New York, New York",8537673.00 ,,1.089
巨人,AT&T Park,30,"1,165,058",38835.00 ,41915 ,,3,40785,,"San Francisco, California",870887.00 ,,1.118
小熊,Wrigley Field ,32,"1,211,714",37866.00 ,41159 ,,6,39500,,"Chicago, Illinois",2704958.00 ,,1.074
天使,Angel Stadium of Anaheim,35,"1,297,581",37073.00 ,45389 ,,7,37278,,"Anaheim, California",351043.00 ,,0.933
落磯,Coors Field,30,"1,061,340",35378.00 ,50490 ,,8,36464,,"Denver, Colorado",649495.00 ,,1.415
太空人,Minute Maid Park,33,"1,165,990",35333.00 ,40963 ,,15,29674,,"Houston, Texas",2303482.00 ,,0.827
紅襪,Fenway Park,34,"1,173,820",34524.00 ,37493 ,,9,36020,,"Boston, Massachusetts",673184.00 ,,1.25
釀酒人,Miller Park ,30,"1,003,934",33464.00 ,41900 ,,10,31589,,"Milwaukee, Wisconsin",595047.00 ,,1.049
勇士,SunTrust Park,28,"865,098",30896.00 ,41149 ,,13,30929,,"Cumberland, GA",472522.00 ,,1.032
大都會,Citi Field,34,"1,044,602",30723.00 ,42000 ,,14,30757,,"New York, New York",8537673.00 ,,0.753
國民,Nationals Park,32,"965,392",30168.00 ,41506 ,,11,31172,,"Washington, D.C.",681170.00 ,,0.953
藍鳥,Rogers Centre,34,"954,428",28071.00 ,49539 ,,5,39554,,"Toronto, Ontario",2790060.00 ,,0.975
遊騎兵,Globe Life Park in Arlington,36,"1,003,070",27863.00 ,49170 ,,12,30960,,"Arlington, Texas",392772.00 ,,1.216
響尾蛇,Chase Field,33,"847,547",25683.00 ,48633 ,,20,26350,,"Phoenix, Arizona",1626078.00 ,,0.979
教士,Petco Park,38,"960,909",25287.00 ,42500 ,,18,26401,,"San Diego, California",1406630.00 ,,1.169
費城人,Citizens Bank Park,31,"782,959",25256.00 ,43647 ,,24,24118,,"Philadelphia, Pennsylvania",1567872.00 ,,1.039
水手,Safeco Field,33,"800,195",24248.00 ,47447 ,,19,26363,,"Seattle, Washington",704352.00 ,,0.883
雙城,Target Field,33,"754,384",22860.00 ,39500 ,,21,25640,,"Minneapolis, Minnesota",422331.00 ,,0.925
老虎,Comerica Park,36,"779,494",21652.00 ,41255 ,,16,28661,,"Detroit, Michigan",672795.00 ,,1.13
金鶯,Oriole Park at Camden Yards,28,"572,579",20449.00 ,45971 ,,23,25042,,"Baltimore, Maryland",614664.00 ,,0.961
皇家,Kauffman Stadium,31,"621,764",20056.00 ,37903 ,,17,27754,,"Kansas City, Missouri",481420.00 ,,0.988
印地安人,Progressive Field,30,"591,437",19714.00 ,43441 ,,22,25285,,"Cleveland, Ohio",385809.00 ,,1.396
紅人,Great American Ball Park,34,"637,359",18745.00 ,42319 ,,26,22677,,"Cincinnati, Ohio",298800.00 ,,1.058
白襪,Guaranteed Rate Field,30,"503,402",16780.00 ,40615 ,,27,20626,,"Chicago, Illinois",2704958.00 ,,0.914
海盜,PNC Park,32,"535,702",16740.00 ,38362 ,,25,23696,,"Pittsburgh, Pennsylvania",303625.00 ,,0.973
運動家,Oakland Coliseum,34,"527,353",15510.00 ,35067 ,,29,18446,,"Oakland, California",420005.00 ,,0.742
光芒,Tropicana Field ,29,"393,824",13580.00 ,34078 ,,30,15670,,"St. Petersburg, Florida",377165.00 ,,0.876
馬林魚,Marlins Park,32,"337,638",10551.00 ,37000 ,,28,20395,,"Miami, Florida",453579.00 ,,0.844
