出賽,打數,安打,全壘打,打點,盜壘,得分,保送,三振,打擊率,上壘率,長打率,
70 ,2375 ,576 ,90 ,312 ,24 ,334 ,260 ,597 ,0.243 ,0.321 ,0.424 ,
69 ,2330 ,569 ,86 ,279 ,26 ,294 ,222 ,588 ,0.244 ,0.315 ,0.394 ,
68 ,2319 ,582 ,113 ,350 ,32 ,359 ,261 ,619 ,0.251 ,0.330 ,0.462 ,
72 ,2495 ,639 ,75 ,286 ,29 ,298 ,217 ,668 ,0.256 ,0.319 ,0.408 ,
68 ,2387 ,617 ,72 ,322 ,32 ,337 ,269 ,579 ,0.258 ,0.340 ,0.417 ,
72 ,2466 ,609 ,98 ,312 ,36 ,328 ,246 ,552 ,0.247 ,0.321 ,0.421 ,
71 ,2418 ,599 ,85 ,313 ,39 ,325 ,227 ,627 ,0.248 ,0.316 ,0.412 ,
73 ,2505 ,669 ,92 ,369 ,36 ,383 ,250 ,582 ,0.267 ,0.337 ,0.440 ,
73 ,2542 ,664 ,104 ,351 ,54 ,371 ,232 ,573 ,0.261 ,0.327 ,0.452 ,
71 ,2393 ,596 ,90 ,295 ,51 ,314 ,230 ,629 ,0.249 ,0.318 ,0.414 ,
71 ,2469 ,636 ,83 ,328 ,42 ,344 ,230 ,557 ,0.258 ,0.325 ,0.424 ,
68 ,2282 ,516 ,70 ,250 ,29 ,255 ,236 ,588 ,0.226 ,0.304 ,0.373 ,
69 ,2305 ,545 ,80 ,275 ,59 ,293 ,246 ,555 ,0.236 ,0.315 ,0.394 ,
71 ,2401 ,564 ,93 ,304 ,25 ,320 ,243 ,620 ,0.235 ,0.310 ,0.416 ,
73 ,2432 ,562 ,82 ,298 ,37 ,315 ,262 ,698 ,0.231 ,0.315 ,0.391 ,
71 ,2343 ,532 ,82 ,297 ,42 ,312 ,255 ,657 ,0.227 ,0.306 ,0.399 ,
74 ,2447 ,572 ,64 ,266 ,43 ,283 ,212 ,696 ,0.234 ,0.298 ,0.371 ,
69 ,2282 ,531 ,76 ,285 ,28 ,296 ,268 ,670 ,0.233 ,0.317 ,0.388 ,
72 ,2443 ,634 ,88 ,305 ,46 ,315 ,195 ,558 ,0.260 ,0.322 ,0.424 ,
68 ,2327 ,558 ,71 ,275 ,23 ,290 ,239 ,579 ,0.240 ,0.313 ,0.404 ,
73 ,2522 ,634 ,60 ,293 ,38 ,305 ,194 ,578 ,0.251 ,0.310 ,0.401 ,
70 ,2384 ,543 ,77 ,243 ,25 ,248 ,202 ,633 ,0.228 ,0.294 ,0.375 ,
71 ,2429 ,589 ,60 ,245 ,32 ,262 ,191 ,516 ,0.242 ,0.305 ,0.372 ,
70 ,2445 ,615 ,99 ,322 ,44 ,334 ,222 ,578 ,0.252 ,0.319 ,0.435 ,
71 ,2451 ,615 ,69 ,289 ,29 ,301 ,261 ,589 ,0.251 ,0.328 ,0.388 ,
70 ,2358 ,567 ,73 ,258 ,57 ,265 ,187 ,662 ,0.240 ,0.303 ,0.399 ,
71 ,2399 ,609 ,74 ,318 ,25 ,330 ,232 ,523 ,0.254 ,0.325 ,0.417 ,
72 ,2462 ,589 ,91 ,303 ,12 ,316 ,227 ,640 ,0.239 ,0.310 ,0.411 ,
71 ,2409 ,609 ,65 ,261 ,38 ,280 ,218 ,614 ,0.253 ,0.322 ,0.389 ,
72 ,2459 ,577 ,56 ,236 ,17 ,253 ,213 ,624 ,0.235 ,0.303 ,0.357 ,
,,,,,,,,,,,,
